31-Oct-24 11:49:28 - INFO - ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
31-Oct-24 11:49:28 - INFO - START OF UNSET LOG FOR 2024-10-31 11:49:28.342283
31-Oct-24 11:49:28 - INFO - ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
31-Oct-24 11:50:07 - INFO - Response: {'controlNumber': '2554382', 'requestedControlNumber': '2554382', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:08 - INFO - Response: {'controlNumber': '42368571', 'requestedControlNumber': '42368571', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:09 - INFO - Response: {'controlNumber': '31417687', 'requestedControlNumber': '31417687', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:10 - INFO - Response: {'controlNumber': '40001740', 'requestedControlNumber': '40001740', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:12 - INFO - Response: {'controlNumber': '39340508', 'requestedControlNumber': '39340508', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:13 - INFO - Response: {'controlNumber': '1132898538', 'requestedControlNumber': '1132898538', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:14 - INFO - Response: {'controlNumber': '6550815', 'requestedControlNumber': '6550815', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:15 - INFO - Response: {'controlNumber': '32536320', 'requestedControlNumber': '32536320', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:16 - INFO - Response: {'controlNumber': '82813909', 'requestedControlNumber': '82813909', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:18 - INFO - Response: {'controlNumber': '18821778', 'requestedControlNumber': '1132892195', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:18 - INFO - Response: {'controlNumber': '78463365', 'requestedControlNumber': '78463365', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:19 - INFO - Response: {'controlNumber': '84062749', 'requestedControlNumber': '84062749', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:20 - INFO - Response: {'controlNumber': '1132894408', 'requestedControlNumber': '1132894408', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:21 - INFO - Response: {'controlNumber': '2244100', 'requestedControlNumber': '2244100', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:23 - INFO - Response: {'controlNumber': '1132897983', 'requestedControlNumber': '1132897983', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:24 - INFO - Response: {'controlNumber': '36102968', 'requestedControlNumber': '36102968', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:25 - INFO - Response: {'controlNumber': '27083636', 'requestedControlNumber': '27083636', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:26 - INFO - Response: {'controlNumber': '1132896716', 'requestedControlNumber': '1132896716', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:27 - INFO - Response: {'controlNumber': '225693286', 'requestedControlNumber': '225693286', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:28 - INFO - Response: {'controlNumber': '37347772', 'requestedControlNumber': '37347772', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:29 - INFO - Response: {'controlNumber': '1069353962', 'requestedControlNumber': '1069353962', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:30 - INFO - Response: {'controlNumber': '32865537', 'requestedControlNumber': '32865537', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:31 - INFO - Response: {'controlNumber': '35850592', 'requestedControlNumber': '35850592', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:33 - INFO - Response: {'controlNumber': '36579624', 'requestedControlNumber': '36579624', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:34 - INFO - Response: {'controlNumber': '26744691', 'requestedControlNumber': '26744691', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:35 - INFO - Response: {'controlNumber': '9019344', 'requestedControlNumber': '1132903730', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:36 - INFO - Response: {'controlNumber': '38003982', 'requestedControlNumber': '38003982', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:37 - INFO - Response: {'controlNumber': '1052963118', 'requestedControlNumber': '1052963118', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:38 - INFO - Response: {'controlNumber': '24864481', 'requestedControlNumber': '24864481', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:40 - INFO - Response: {'controlNumber': '144599643', 'requestedControlNumber': '144599643', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:41 - INFO - Response: {'controlNumber': '30986569', 'requestedControlNumber': '30986569', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:42 - INFO - Response: {'controlNumber': '49330094', 'requestedControlNumber': '49330094', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:43 - INFO - Response: {'controlNumber': '37948890', 'requestedControlNumber': '37948890', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:44 - INFO - Response: {'controlNumber': '38131934', 'requestedControlNumber': '38131934', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:45 - INFO - Response: {'controlNumber': '26383069', 'requestedControlNumber': '26383069', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:46 - INFO - Response: {'controlNumber': '39537773', 'requestedControlNumber': '39537773', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:47 - INFO - Response: {'controlNumber': '42801282', 'requestedControlNumber': '42801282', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:48 - INFO - Response: {'controlNumber': '42493743', 'requestedControlNumber': '42493743', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
