Type / Creator / Imprint,,Subject,Series,Title,Relation,Creation Date,Modification Date,Edition,Uniform Title,Medium Type,Language,Open Access,Language Of Cataloging,ISBN,Record number,ISBN (13),ISSN,Collections,Availability,Availability (Network),,Orders,Peer Reviewed,Managed by,Requests,MMS ID,underReview,resultFromNetwork,Local Call Number,Other Classification Number,Handle Identifier
"Book {Book - Physical} By Dickinson, Thomas Herbert, (New York : Macmillan, 1925.)",,American drama--20th century--History and criticism.   American drama--History and criticism. ,,Playwrights of the new American theater / by Thomas H. Dickinson.,,08/08/2022 14:46:05 ,01/28/2023 22:47:03 ,,,,English,,,,82113;(Mills)ocm02221889;(MillsTIND)60636,,,,,,,0,,,0,9952166914401401,,,812.09 D553p ,,
"Book {Book - Physical} By Downer, Alan Seymour, (Chicago, Regnery, 1951.)",,American drama--20th century--History and criticism. ,Twentieth-century literature in America,"Fifty years of American drama, 1900-1950.",,08/08/2022 14:46:05 ,01/28/2023 22:54:00 ,,,,English,,,,82115;(Mills)ocm00232750;(MillsTIND)60640,,,,,,,0,,,0,9952166914001401,,,812.09 D748f ,,
"Book {Book - Physical} By Frazer, Winifred L., (Gainesville, University of Florida Press, 1960.)",,American drama--20th century--History and criticism.   Loneliness in literature. ,,"The theme of loneliness in modern American drama, by Winifred L. Dusenbury.",,08/08/2022 14:46:06 ,01/28/2023 22:56:07 ,,,,English,,,,82116;(Mills)ocm00172038;(MillsTIND)60642,,,,,,,0,,,0,9952166913801401,,,812.09 D972t ,,
"Book {Book - Physical} By Flexner, Eleanor, (New York, Simon and Schuster [c1938])",,"American drama--20th century--History and criticism.   Dramatists, American.   Theater--United States. ",,American playwrights: 1918-1938; the theatre retreats from reality; with a preface by John Gassner.,,08/08/2022 14:46:06 ,01/28/2023 22:39:11 ,,,,English,,,,82118;(Mills)ocm01487978;(MillsTIND)60646,,,,,,,0,,,0,9952166913301401,,,812.09 F619a ,,
"Book {Book - Physical} By Miller, Jordan Yale, (New York, McGraw-Hill, 1961.)",,American drama--20th century.   American drama--History and criticism. ,,American dramatic literature; ten modern plays in historical perspetive.,,08/08/2022 14:46:06 ,01/28/2023 22:44:14 ,,,,English,,,,82119;(Mills)ocm00270499;(MillsTIND)60648,,,,,,,0,,,0,9952166912901401,,,812.09 M648a ,,
"Book {Book - Physical} By Braswell, William, (New York, Pageant Books, 1959 [c1943])",,"Melville, Herman,--1819-1891--Religion. ",,Melville's religious thought; an essay in interpretation.,,08/08/2022 14:46:06 ,01/28/2023 22:32:46 ,,,,English,,,,82227;(Mills)ocm01648036;(MillsTIND)60931,,,,,,,0,,,0,9952166912701401,,,813.3 M531Xbr ,,
"Book {Book - Physical} By Chase, Richard Volney, (New York, Macmillan Co, 1949.)",,"Melville, Herman,--1819-1891. ",,"Herman Melville, a critical study.",,08/08/2022 14:46:06 ,01/28/2023 22:39:08 ,,,,English,,,,82228;(Mills)ocm00734853;(MillsTIND)60933,,,,,,,0,,,0,9952166912301401,,,813.3 M531Xc 1949 ,,
"Book {Book - Physical} By Quinn, Arthur Hobson, (New York, London, Harper & Brothers, 1923.)",,American drama--History and criticism. ,,"A history of the American drama, from the beginning to the civil war, by Arthur Hobson Quinn ...",,08/08/2022 14:46:05 ,01/28/2023 22:44:12 ,,,,English,,,,82122;(Mills)ocm00844156;(MillsTIND)60652,,,,,,,0,,,0,9952166912001401,,,812.09 Q7h ,,
"Book {Book - Physical} By Dryden, Edgar A. (Baltimore, Johns Hopkins Press [1968])",,"Melville, Herman,--1819-1891. ",,Melville's thematics of form; the great art of telling the truth [by] Edgar A. Dryden.,,08/08/2022 14:46:07 ,01/28/2023 22:54:03 ,,,,English,,,,82229;(Mills)ocm00203925;(MillsTIND)60936,,,,,,,0,,,0,9952166911801401,,,813.3 M531Xd 1968 ,,
"Book {Book - Physical} By Rabkin, Gerald. (Bloomington, Indiana University Press, 1964.)",,American drama--20th century--History and criticism.   Politics in literature. ,,Drama and commitment; politics in the American theatre of the thirties.,,08/08/2022 14:46:06 ,01/28/2023 22:36:31 ,,,,English,,,,82124;(Mills)ocm00270003;(MillsTIND)60657,,,,,,,0,,,0,9952166910801401,,,812.09 R116d ,,
"Book {Book - Physical} By Sievers, W. David (New York, Hermitage House, 1955.)",,American drama--20th century--History and criticism.   Psychoanalysis. ,,"Freud on Broadway, a history of psychoanalysis and the American drama.",,08/08/2022 14:46:06 ,01/28/2023 22:56:06 ,[1st ed.],,,English,,,,82126;(Mills)ocm00270217;(MillsTIND)60663,,,,,,,0,,,0,9952166908601401,,,812.09 S573f ,,
