Title,Type / Creator / Imprint,Barcode,Inventory Number,Receiving Number,Library,Library Unit,Temporary Library,Creation Date,Modification Date,Process type,To Library,Expected Arrival Time,At Library,At,On Hold Expiration Date,Due Date,Needed By,Until,Permanent Location,Temporary Location,Call Number,Call Number Type,Accession Number,Temporary Call Number,Temporary Call Number Type,Item call number,Item call number type,Status,RFID Security Status,Due back,Item Policy,Temporary Item Policy,Material Type,Copy ID,Description,Orders,Requests,Peer Reviewed,Item ID,Holdings ID,MMS ID
Some mythical elements in English literature.,"Book By Tillyard, E. M. W. (London, Chatto & Windus, 1961.)",33086000957878,,,F.W. Olin Library,,,08/08/2022 14:48:33 ,08/08/2022 14:48:33 ,,,,,,,,,,Non-Fiction,,820.4 T579s,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402560870001401,22402561210001401,9952166988001401
"Critical essays of the early nineteenth century, with introduction and notes by Raymond Macdonald Alden ...","Book By Alden, Raymond Macdonald, (New York, Chicago [etc.] C Scribner's Sons [c1921])",33086000964155,,,F.W. Olin Library,,,08/08/2022 14:48:31 ,08/08/2022 14:48:31 ,,,,,,,,,,Non-Fiction,,820.9 A358c,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402562090001401,22402562180001401,9952167236501401
Scenes from the Mesozoic and other drawings.,"Book By Day, Clarence, (New Haven, Yale University Press, 1935.)",33086000959056,,,F.W. Olin Library,,,08/08/2022 14:48:31 ,08/08/2022 14:48:31 ,,,,,,,,,,Non-Fiction,,817 D273s,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402562210001401,22402562290001401,9952166958701401
W. Somerset Maugham's Introduction to modern English and American literature.,"Book By Maugham, W. Somerset (New York, The New Home Library [1943])",33086000963488,,,F.W. Olin Library,,,08/08/2022 14:48:30 ,08/08/2022 14:48:30 ,,,,,,,,,,Non-Fiction,,820.8 M449w,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402562530001401,22402562550001401,9952167346901401
"Thoughts without words, by Clarence Day.","Book By Day, Clarence, (New York, London, A A Knopf, 1928.)",33086000959098,,,F.W. Olin Library,,,08/08/2022 14:48:29 ,08/08/2022 14:48:29 ,,,,,,,,,,Non-Fiction,,817 D273th,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402563270001401,22402563460001401,9952167074801401
"Representative selections, with introduction, bibliography, and notes, by Frank Luther Mott ... and Chester E. Jorgenson ...","Book By Franklin, Benjamin, (New York, Cincinnati [etc.] American Book Company [c1936])",33086000960765,,,F.W. Olin Library,,,08/08/2022 14:48:29 ,08/08/2022 14:48:29 ,,,,,,,,,,Non-Fiction,,818 F831Am,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402563380001401,22402563710001401,9952166968601401
"Fifty modern English writers, presented by W. Somerset Maugham.","Book By Maugham, W. Somerset (Garden City, N.Y., Doubleday, Doran, 1934 [c1933])",33086000963470,,,F.W. Olin Library,,,08/08/2022 14:48:29 ,08/08/2022 14:48:29 ,,,,,,,,,,Non-Fiction,,820.8 M449f,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402563490001401,22402563580001401,9952167347201401
Books and their writers by S.P.B. Mais ...,"Book By Mais, S. P. B. (London G Richards ltd, 1920)",33086000957605,,,F.W. Olin Library,,,08/08/2022 14:48:28 ,08/08/2022 14:48:28 ,,,,,,,,,,Non-Fiction,,820.4 M231b,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402563950001401,22402564110001401,9952166961601401
Modern British writing.,"Book By Val Baker, Denys, (New York, Vanguard Press [1947])",33086000958033,,,F.W. Olin Library,,,08/08/2022 14:48:28 ,08/08/2022 14:48:28 ,,,,,,,,,,Non-Fiction,,820.8 B167m,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402564560001401,22402564710001401,9952166978301401
"Wild goslings; a selection of fugitive pieces, by William Rose Benet ...","Book By Benét, William Rose, (New York, George H Doran company [c1927])",33086000960153,,,F.W. Olin Library,,,08/08/2022 14:48:27 ,08/08/2022 14:48:27 ,,,,,,,,,,Non-Fiction,,818 B4652w,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402564900001401,22402565040001401,9952166954101401
The Woollcott reader; bypaths in the realms of gold.,"Book By Woollcott, Alexander, (New York, The Viking Press, 1935.)",33086000964130,,,F.W. Olin Library,,,08/08/2022 14:48:26 ,08/08/2022 14:48:26 ,,,,,,,,,,Non-Fiction,,820.8 W913w,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402565540001401,22402565620001401,9952167237501401
"Chaucer's nuns, and other essays, by Sister M. Madeleva; foreword by B.H. Lehman.","Book By M. Madeleva (New York, London, D Appleton and company, 1925.)",33086000957597,,,F.W. Olin Library,,,08/08/2022 14:48:25 ,08/08/2022 14:48:25 ,,,,,,,,,,Non-Fiction,,820.4 M181c,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402566020001401,22402536110001401,9952166962001401
The prose of Edward Rowland Sill; with an introduction comprising some familiar letters.,"Book By Sill, Edward Rowland, (Boston and New York, Houghton, Mifflin and company, 1900.)",33086000962381,,,F.W. Olin Library,,,08/08/2022 14:48:44 ,08/08/2022 14:48:44 ,,,,,,,,,,Non-Fiction,,818 S584A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402566560001401,22402566630001401,9952167223901401
"Orations of American orators, including biographical and critical sketches, with a special introduction by Julian Hawthorne.","Book (New York, The Colonial press [c1900])",33086000958447,,,F.W. Olin Library,,,08/08/2022 14:48:43 ,08/08/2022 14:48:43 ,,,,,,,,,,Non-Fiction,,815 O63h,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 1,0,0,,23402566880001401,22402567060001401,9952167058301401
"Orations of American orators, including biographical and critical sketches, with a special introduction by Julian Hawthorne.","Book (New York, The Colonial press [c1900])",33086001511146,,,F.W. Olin Library,,,08/08/2022 14:48:43 ,08/08/2022 14:48:43 ,,,,,,,,,,Non-Fiction,,815 O63h,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 2,0,0,,23402566960001401,22402567060001401,9952167058301401
"Representative selections, with introd., bibliography, and notes, by Robert E. Spiller.","Book By Cooper, James Fenimore, (New York, American Book Co [c1936])",33086000960328,,,F.W. Olin Library,,,08/08/2022 14:48:42 ,08/08/2022 14:48:42 ,,,,,,,,,,Non-Fiction,,818 C777As,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402567400001401,22402567510001401,9952167074901401
While Rome burns.,"Book By Woollcott, Alexander, (New York, The Viking press, 1934.)",33086000963090,,,F.W. Olin Library,,,08/08/2022 14:48:41 ,08/08/2022 14:48:41 ,,,,,,,,,,Non-Fiction,,818 W913w,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402567690001401,22402567740001401,9952167334701401
"Long, long ago.","Book By Woollcott, Alexander, (New York, The Viking Press, 1943.)",33086000963082,,,F.W. Olin Library,,,08/08/2022 14:48:40 ,08/08/2022 14:48:40 ,,,,,,,,,,Non-Fiction,,818 W913L,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402568990001401,22402569130001401,9952167335101401
"Papers, selected and edited by C. Harvey Gardiner.","Book By Prescott, William Hickling, (Urbana, University of Illinois Press, 1964.)",33086000962241,,,F.W. Olin Library,,,08/08/2022 14:48:39 ,08/08/2022 14:48:39 ,,,,,,,,,,Non-Fiction,,818 P933g,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402569340001401,22402569400001401,9952167232101401
"Representative selections, with introduction, bibliography, and notes by Wilbur L. Schramm ...","Book By Parkman, Francis, (New York, Cincinnati [etc.] American Book Company [c1938])",33086000961813,,,F.W. Olin Library,,,08/08/2022 14:48:38 ,08/08/2022 14:48:38 ,,,,,,,,,,Non-Fiction,,818 P249As,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402570310001401,22402570460001401,9952167209701401
"We followed our hearts to Hollywood, by Emily Kimbrough; drawings by Helen E. Hokinson.","Book By Kimbrough, Emily, (New York, Dodd, Mead & Company, 1943.)",33086000959460,,,F.W. Olin Library,,,08/08/2022 14:48:37 ,08/08/2022 14:48:37 ,,,,,,,,,,Non-Fiction,,817 K49w,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402570960001401,22402571060001401,9952167351201401
A time to act; selected addresses.,"Book By MacLeish, Archibald, (Boston, Houghton Mifflin company, 1943.)",33086000958413,,,F.W. Olin Library,,,08/08/2022 14:48:34 ,08/08/2022 14:48:34 ,,,,,,,,,,Non-Fiction,,815 M163t,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402572960001401,22402572990001401,9952167059201401
"How to guess your age. Illustrated by Gluyas Williams, introd. by Edward Streeter.","Book By Ford, Corey, (Garden City, N.Y., Doubleday, 1950.)",33086000959288,,,F.W. Olin Library,,,08/08/2022 14:48:28 ,08/08/2022 14:48:28 ,,,,,,,,,,Non-Fiction,,817 F699h,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402576060001401,22402546110001401,9952167056401401
The abundant life. Benjamin Ide Wheeler. Edited by Monroe E. Deutsch.,"Book By Wheeler, Benjamin Ide, (Berkeley, Calif., University of California press, 1926.)",33086000962993,,,F.W. Olin Library,,,08/08/2022 14:49:06 ,08/08/2022 14:49:06 ,,,,,,,,,,Non-Fiction,,818 W562a,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402577720001401,22402577870001401,9952167324201401
"Bret Harte; representative selections, with introduction, bibliography, and notes, by Joseph B. Harrison.","Book By Harte, Bret, (New York, Cincinnati, American Book Co [c1941])",33086000960906,,,F.W. Olin Library,,,08/08/2022 14:49:05 ,08/08/2022 14:49:05 ,,,,,,,,,,Non-Fiction,,818 H327Ah,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402578260001401,22402578550001401,9952167234701401
In friendly candor.,"Book By Weeks, Edward, (Boston, Little, Brown [1959])",33086000962985,,,F.W. Olin Library,,,08/08/2022 14:49:03 ,08/08/2022 14:49:03 ,,,,,,,,,,Non-Fiction,,818 W395i,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402579310001401,22402579360001401,9952167324601401
"Carl Van Doren, selected by himself.","Book By Van Doren, Carl, (New York, The Viking Press, 1945.)",33086001512110,,,F.W. Olin Library,,,08/08/2022 14:49:02 ,08/08/2022 14:49:02 ,,,,,,,,,,Non-Fiction,,818 V246c,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402579520001401,22402579550001401,9952167324901401
"Readings from the American mercury, edited by Grant C. Knight ...","Book By Knight, Grant Cochran, (New York, AA Knopf, 1926.)",33086000961391,,,F.W. Olin Library,,,08/08/2022 14:49:00 ,08/08/2022 14:49:00 ,,,,,,,,,,Non-Fiction,,818 K69r,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402580190001401,22402580270001401,9952167221701401
"The new country : a social history of the American frontier, 1776-1890 / Richard A. Bartlett.","Book By Bartlett, Richard A. (London ; New York : Oxford University Press, 1976.)",33086000017913,,,F.W. Olin Library,,,08/08/2022 14:48:59 ,08/08/2022 14:48:59 ,,,,,,,,,,Non-Fiction,,917.8 B291n,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,2,[copy 2],0,0,,23402580350001401,22402580450001401,9952167325101401
"Conversations in a studio, by William Wetmore Story ...","Book By Story, William Wetmore, (Boston, New York, Houghton, Mifflin and Company, 1890.)",33086000962621,,,F.W. Olin Library,,,08/08/2022 14:48:58 ,08/08/2022 14:48:58 ,,,,,,,,,,Non-Fiction,,818 S888c,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 1,0,0,,23402580820001401,22402580970001401,9952167334901401
"Conversations in a studio, by William Wetmore Story ...","Book By Story, William Wetmore, (Boston, New York, Houghton, Mifflin and Company, 1890.)",33086001501402,,,F.W. Olin Library,,,08/08/2022 14:48:57 ,08/08/2022 14:48:57 ,,,,,,,,,,Non-Fiction,,818 S888c,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 2,0,0,,23402580940001401,22402580970001401,9952167334901401
It gives me great pleasure. Illus. by Helen Hokinson.,"Book By Kimbrough, Emily, (New York, Dodd, Mead [1948])",33086000961383,,,F.W. Olin Library,,,08/08/2022 14:48:57 ,08/08/2022 14:48:57 ,,,,,,,,,,Non-Fiction,,818 K49i,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402581100001401,22402581130001401,9952167222001401
"John Lothrop Motley; representative selections, with introduction, bibliography, and notes by Chester Penn Higby...and B.T. Schantz...","Book By Motley, John Lothrop, (New York, Cincinnati [etc.] American book company [c1939])",33086000961730,,,F.W. Olin Library,,,08/08/2022 14:48:56 ,08/08/2022 14:48:56 ,,,,,,,,,,Non-Fiction,,818 M919Ah,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402581330001401,22402581420001401,9952167212101401
"How dear to my heart, by Emily Kimbrough; drawings by Helen E. Hokinson.","Book By Kimbrough, Emily, (New York, Dodd, Mead & Company, 1944.)",33086000961375,,,F.W. Olin Library,,,08/08/2022 14:48:54 ,08/08/2022 14:48:54 ,,,,,,,,,,Non-Fiction,,818 K49h,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402582110001401,22402582220001401,9952167222301401
From Beowulf to Thomas Hardy. [Edited by] Robert Shafer.,"Book By Shafer, Robert, (New York, Doubleday, Doran & Company, Inc [c1939-40])",33086000963587,,,F.W. Olin Library,,,08/08/2022 14:48:54 ,08/08/2022 14:48:54 ,,,,,,,,,,Non-Fiction,,820.8 S525f2,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402582140001401,22402582260001401,9952167343901401
Mr. Dooley in peace and in war.,"Book By Dunne, Finley Peter, (Boston : Small, Maynard & Company, 1899.)",33086000959163,,,F.W. Olin Library,,,08/08/2022 14:48:53 ,08/08/2022 14:48:53 ,,,,,,,,,,Non-Fiction,,817 D923p,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402582470001401,22402582570001401,9952167071301401
"The eighteen-nineties, a period anthology in prose and verse. With an introd. by John Betjeman.","Book By Secker, Martin, (London, Richards Press [1948])",33086000963579,,,F.W. Olin Library,,,08/08/2022 14:48:51 ,08/08/2022 14:48:51 ,,,,,,,,,,Non-Fiction,,820.8 S444e,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402583250001401,22402583310001401,9952167344201401
Mr. Dooley's opinions.,"Book By Dunne, Finley Peter, (New York, R H Russell, 1901.)",33086000959155,,,F.W. Olin Library,,,08/08/2022 14:48:50 ,08/08/2022 14:48:50 ,,,,,,,,,,Non-Fiction,,817 D923op,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402583330001401,22402583420001401,9952167071701401
Works.,"Book By Melville, Herman, (Russell & Russell, 1963])",33086001511039,,,F.W. Olin Library,,,08/08/2022 14:48:50 ,08/08/2022 14:48:50 ,,,,,,,,,,Non-Fiction,,818 M531A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 3,0,0,,23402583680001401,22402585140001401,9952167215701401
Works.,"Book By Melville, Herman, (Russell & Russell, 1963])",33086001501006,,,F.W. Olin Library,,,08/08/2022 14:48:49 ,08/08/2022 14:48:49 ,,,,,,,,,,Non-Fiction,,818 M531A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 4,0,0,,23402583770001401,22402585140001401,9952167215701401
Works.,"Book By Melville, Herman, (Russell & Russell, 1963])",33086001500990,,,F.W. Olin Library,,,08/08/2022 14:48:49 ,08/08/2022 14:48:49 ,,,,,,,,,,Non-Fiction,,818 M531A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 5,0,0,,23402583810001401,22402585140001401,9952167215701401
Works.,"Book By Melville, Herman, (Russell & Russell, 1963])",33086001500982,,,F.W. Olin Library,,,08/08/2022 14:48:49 ,08/08/2022 14:48:49 ,,,,,,,,,,Non-Fiction,,818 M531A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 6,0,0,,23402583920001401,22402585140001401,9952167215701401
Works.,"Book By Melville, Herman, (Russell & Russell, 1963])",33086001500974,,,F.W. Olin Library,,,08/08/2022 14:48:49 ,08/08/2022 14:48:49 ,,,,,,,,,,Non-Fiction,,818 M531A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 7,0,0,,23402584050001401,22402585140001401,9952167215701401
Works.,"Book By Melville, Herman, (Russell & Russell, 1963])",33086001500966,,,F.W. Olin Library,,,08/08/2022 14:48:48 ,08/08/2022 14:48:48 ,,,,,,,,,,Non-Fiction,,818 M531A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 8,0,0,,23402584110001401,22402585140001401,9952167215701401
Works.,"Book By Melville, Herman, (Russell & Russell, 1963])",33086001500958,,,F.W. Olin Library,,,08/08/2022 14:48:48 ,08/08/2022 14:48:48 ,,,,,,,,,,Non-Fiction,,818 M531A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 9,0,0,,23402584160001401,22402585140001401,9952167215701401
Works.,"Book By Melville, Herman, (Russell & Russell, 1963])",33086001500941,,,F.W. Olin Library,,,08/08/2022 14:48:48 ,08/08/2022 14:48:48 ,,,,,,,,,,Non-Fiction,,818 M531A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v.11,0,0,,23402584250001401,22402585140001401,9952167215701401
Works.,"Book By Melville, Herman, (Russell & Russell, 1963])",33086001500933,,,F.W. Olin Library,,,08/08/2022 14:48:48 ,08/08/2022 14:48:48 ,,,,,,,,,,Non-Fiction,,818 M531A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v.12,0,0,,23402584360001401,22402585140001401,9952167215701401
Works.,"Book By Melville, Herman, (Russell & Russell, 1963])",33086001500925,,,F.W. Olin Library,,,08/08/2022 14:48:47 ,08/08/2022 14:48:47 ,,,,,,,,,,Non-Fiction,,818 M531A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v.14,0,0,,23402584420001401,22402585140001401,9952167215701401
"Late medieval Scots poetry; a selection from the makars and their heirs down to 1610, edited with an introd., notes, and glossary by Tom Scott.","Book By Scott, Tom, ([New York] Barnes & Noble [1967])",33086000963561,,,F.W. Olin Library,,,08/08/2022 14:48:47 ,08/08/2022 14:48:47 ,,,,,,,,,,Non-Fiction,,820.8 S429L,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402584510001401,22402584570001401,9952167344601401
Works.,"Book By Melville, Herman, (Russell & Russell, 1963])",33086001500800,,,F.W. Olin Library,,,08/08/2022 14:48:47 ,08/08/2022 14:48:47 ,,,,,,,,,,Non-Fiction,,818 M531A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v.10,0,0,,23402584530001401,22402585140001401,9952167215701401
Works.,"Book By Melville, Herman, (Russell & Russell, 1963])",33086001500792,,,F.W. Olin Library,,,08/08/2022 14:48:47 ,08/08/2022 14:48:47 ,,,,,,,,,,Non-Fiction,,818 M531A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v.13,0,0,,23402584640001401,22402585140001401,9952167215701401
Works.,"Book By Melville, Herman, (Russell & Russell, 1963])",33086001500784,,,F.W. Olin Library,,,08/08/2022 14:48:47 ,08/08/2022 14:48:47 ,,,,,,,,,,Non-Fiction,,818 M531A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v.15,0,0,,23402584770001401,22402585140001401,9952167215701401
Works.,"Book By Melville, Herman, (Russell & Russell, 1963])",33086001500776,,,F.W. Olin Library,,,08/08/2022 14:48:47 ,08/08/2022 14:48:47 ,,,,,,,,,,Non-Fiction,,818 M531A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v.16,0,0,,23402584880001401,22402585140001401,9952167215701401
Works.,"Book By Melville, Herman, (Russell & Russell, 1963])",33086000961607,,,F.W. Olin Library,,,08/08/2022 14:48:46 ,08/08/2022 14:48:46 ,,,,,,,,,,Non-Fiction,,818 M531A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 1,0,0,,23402584960001401,22402585140001401,9952167215701401
Works.,"Book By Melville, Herman, (Russell & Russell, 1963])",33086001511047,,,F.W. Olin Library,,,08/08/2022 14:48:46 ,08/08/2022 14:48:46 ,,,,,,,,,,Non-Fiction,,818 M531A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 2,0,0,,23402585070001401,22402585140001401,9952167215701401
"Studies in Shakespeare, Milton, and Donne, by members of the English department of the University of Michigan.","Book By University of Michigan. Dept. of English. (New York, London, The Macmillan company 1925.)",33086001168319,,,F.W. Olin Library,,,08/08/2022 14:48:44 ,08/08/2022 14:48:44 ,,,,,,,,,,Non-Fiction,,820.4 M624s,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402585890001401,22402586050001401,9952166958801401
The mortgaged heart. Edited by Margarita G. Smith.,"Book By McCullers, Carson, (Boston, Houghton Mifflin, 1971.)",33086001143890,,,F.W. Olin Library,,,08/08/2022 14:49:11 ,08/08/2022 14:49:11 ,,,,,,,,,,Non-Fiction,,818 M133m,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402586360001401,22402586390001401,9952167338501401
The French face of Edgar Poe.,"Book By Quinn, Patrick F. (Carbondale, Southern Illinois University Press, 1957.)",33086000962217,,,F.W. Olin Library,,,08/08/2022 14:49:10 ,08/08/2022 14:49:10 ,,,,,,,,,,Non-Fiction,,818 P743Xq,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402586660001401,22402586700001401,9952167196901401
The complete writings of James Russell Lowell.,"Book By Lowell, James Russell, (Cambridge, The Riverside Press, 1904.)",33086001511641,,,F.W. Olin Library,,,08/08/2022 14:49:01 ,08/08/2022 14:49:01 ,,,,,,,,,,Non-Fiction,,818 L915A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 3,0,0,,23402590370001401,22402591140001401,9952167339601401
The complete writings of James Russell Lowell.,"Book By Lowell, James Russell, (Cambridge, The Riverside Press, 1904.)",33086001511633,,,F.W. Olin Library,,,08/08/2022 14:49:01 ,08/08/2022 14:49:01 ,,,,,,,,,,Non-Fiction,,818 L915A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 4,0,0,,23402590470001401,22402591140001401,9952167339601401
The complete writings of James Russell Lowell.,"Book By Lowell, James Russell, (Cambridge, The Riverside Press, 1904.)",33086001511625,,,F.W. Olin Library,,,08/08/2022 14:49:00 ,08/08/2022 14:49:00 ,,,,,,,,,,Non-Fiction,,818 L915A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 5,0,0,,23402590510001401,22402591140001401,9952167339601401
The complete writings of James Russell Lowell.,"Book By Lowell, James Russell, (Cambridge, The Riverside Press, 1904.)",33086001511617,,,F.W. Olin Library,,,08/08/2022 14:49:00 ,08/08/2022 14:49:00 ,,,,,,,,,,Non-Fiction,,818 L915A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 6,0,0,,23402590530001401,22402591140001401,9952167339601401
The complete writings of James Russell Lowell.,"Book By Lowell, James Russell, (Cambridge, The Riverside Press, 1904.)",33086001511443,,,F.W. Olin Library,,,08/08/2022 14:49:00 ,08/08/2022 14:49:00 ,,,,,,,,,,Non-Fiction,,818 L915A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v.10,0,0,,23402590580001401,22402591140001401,9952167339601401
The complete writings of James Russell Lowell.,"Book By Lowell, James Russell, (Cambridge, The Riverside Press, 1904.)",33086001511435,,,F.W. Olin Library,,,08/08/2022 14:49:00 ,08/08/2022 14:49:00 ,,,,,,,,,,Non-Fiction,,818 L915A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 9,0,0,,23402590640001401,22402591140001401,9952167339601401
The complete writings of James Russell Lowell.,"Book By Lowell, James Russell, (Cambridge, The Riverside Press, 1904.)",33086001511427,,,F.W. Olin Library,,,08/08/2022 14:49:00 ,08/08/2022 14:49:00 ,,,,,,,,,,Non-Fiction,,818 L915A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 8,0,0,,23402590670001401,22402591140001401,9952167339601401
The complete writings of James Russell Lowell.,"Book By Lowell, James Russell, (Cambridge, The Riverside Press, 1904.)",33086001511419,,,F.W. Olin Library,,,08/08/2022 14:48:59 ,08/08/2022 14:48:59 ,,,,,,,,,,Non-Fiction,,818 L915A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 7,0,0,,23402590710001401,22402591140001401,9952167339601401
The complete writings of James Russell Lowell.,"Book By Lowell, James Russell, (Cambridge, The Riverside Press, 1904.)",33086001511245,,,F.W. Olin Library,,,08/08/2022 14:48:59 ,08/08/2022 14:48:59 ,,,,,,,,,,Non-Fiction,,818 L915A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v.14,0,0,,23402590750001401,22402591140001401,9952167339601401
The complete writings of James Russell Lowell.,"Book By Lowell, James Russell, (Cambridge, The Riverside Press, 1904.)",33086001511237,,,F.W. Olin Library,,,08/08/2022 14:48:59 ,08/08/2022 14:48:59 ,,,,,,,,,,Non-Fiction,,818 L915A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v.13,0,0,,23402590780001401,22402591140001401,9952167339601401
The complete writings of James Russell Lowell.,"Book By Lowell, James Russell, (Cambridge, The Riverside Press, 1904.)",33086001511229,,,F.W. Olin Library,,,08/08/2022 14:48:59 ,08/08/2022 14:48:59 ,,,,,,,,,,Non-Fiction,,818 L915A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v.12,0,0,,23402590810001401,22402591140001401,9952167339601401
The complete writings of James Russell Lowell.,"Book By Lowell, James Russell, (Cambridge, The Riverside Press, 1904.)",33086001511211,,,F.W. Olin Library,,,08/08/2022 14:48:59 ,08/08/2022 14:48:59 ,,,,,,,,,,Non-Fiction,,818 L915A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v.11,0,0,,23402590910001401,22402591140001401,9952167339601401
The complete writings of James Russell Lowell.,"Book By Lowell, James Russell, (Cambridge, The Riverside Press, 1904.)",33086001511021,,,F.W. Olin Library,,,08/08/2022 14:48:58 ,08/08/2022 14:48:58 ,,,,,,,,,,Non-Fiction,,818 L915A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v.16,0,0,,23402590950001401,22402591140001401,9952167339601401
The complete writings of James Russell Lowell.,"Book By Lowell, James Russell, (Cambridge, The Riverside Press, 1904.)",33086001511013,,,F.W. Olin Library,,,08/08/2022 14:48:58 ,08/08/2022 14:48:58 ,,,,,,,,,,Non-Fiction,,818 L915A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v.15,0,0,,23402590990001401,22402591140001401,9952167339601401
